Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
140.0,5.3,5.3,3.1,0.0,17.0,15.0,0.073,榛果巧克力風味瑪奇朵(熱),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_榛果巧克力風味瑪奇朵(熱)
192.0,6.8,6.8,4.0,0.0,25.0,23.0,0.098,榛果巧克力風味瑪奇朵(冰),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_榛果巧克力風味瑪奇朵(冰)
498.0,5.5,13.7,7.1,0.0,89.0,74.0,0.266,仲夏野莓奶酪星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_仲夏野莓奶酪星冰樂
361.0,4.3,16.0,8.4,0.0,51.0,43.0,0.211,青檸派星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_青檸派星冰樂
292.0,3.7,11.2,6.8,0.0,45.0,44.0,0.156,草莓奶霜星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓奶霜星冰樂
355.0,5.7,14.4,9.3,0.0,50.0,44.0,0.204,義式濃縮奶霜脆餅星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_義式濃縮奶霜脆餅星冰樂
100.0,0.0,0.0,0.0,0.0,25.0,24.0,0.01,洛神花開香檸汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_洛神花開香檸汽滋樂™
275.0,7.4,14.3,8.6,0.4,30.0,25.3,0.073,冰摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰摩卡
117.0,0.2,0.0,0.0,0.0,29.0,23.0,0.012,蔓越莓葡萄柚汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓葡萄柚汽滋樂™
101.0,0.0,0.0,0.0,0.0,25.0,23.0,0.018,西瓜椰汁汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_西瓜椰汁汽滋樂™
429.0,5.4,15.7,7.4,0.0,66.0,59.0,0.208,巧克力伯爵紅茶吉利星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巧克力伯爵紅茶吉利星冰樂
506.0,5.0,11.6,7.1,0.0,96.0,78.0,0.183,草莓優格奶霜星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓優格奶霜星冰樂
483.0,4.7,11.6,7.1,0.0,90.0,69.0,0.177,芒果優格奶霜星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_芒果優格奶霜星冰樂
330.0,3.7,12.3,8.0,0.0,51.0,49.0,0.212,焦糖蜜糖碎片星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焦糖蜜糖碎片星冰樂
99.0,0.2,0.0,0.0,0.0,25.0,23.0,0.007,草莓香檸綠茶汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓香檸綠茶汽滋樂™
115.0,0.2,0.0,0.0,0.0,29.0,27.0,0.018,香檸雙果紅茶汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香檸雙果紅茶汽滋樂™
277.0,9.5,8.7,4.9,0.0,40.0,37.0,0.144,抹茶咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_抹茶咖啡
121.0,0.2,0.0,0.0,0.0,30.0,28.0,0.01,冰蜜柚紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰蜜柚紅茶
108.0,5.9,5.6,3.2,0.0,9.0,8.0,0.069,卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_卡布奇諾
121.0,0.2,0.0,0.0,0.0,30.0,28.0,0.003,熱蜜柚紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_熱蜜柚紅茶
165.0,3.7,2.7,1.5,0.0,31.0,29.0,0.042,冰抹茶咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰抹茶咖啡
89.0,0.0,0.0,0.0,0.0,21.0,22.0,0.021,冰搖石榴寶石果茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰搖石榴寶石果茶
71.0,0.4,0.0,0.0,0.0,24.0,22.0,0.005,香檸肯亞咖啡汽滋樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香檸肯亞咖啡汽滋樂
385.0,12.0,18.0,6.4,0.0,44.0,32.0,0.307,臺玖號花生仙草星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_臺玖號花生仙草星冰樂
250.0,8.0,9.7,5.6,0.0,33.0,29.0,0.092,紅絲帶抹茶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紅絲帶抹茶那堤
270.0,7.0,10.1,5.9,0.0,38.0,32.0,0.092,冰紅絲帶抹茶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰紅絲帶抹茶那堤
174.0,6.0,5.8,3.3,0.0,24.0,18.0,0.101,燕麥焙香那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_燕麥焙香那堤
195.0,5.0,5.4,3.2,0.0,30.0,23.0,0.113,冰燕麥焙香那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰燕麥焙香那堤
286.0,6.5,11.9,7.1,0.0,38.0,34.0,0.23,海鹽焦糖摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_海鹽焦糖摩卡
6.0,0.4,0.0,0.0,0.0,1.0,0.0,0.004,美式咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_美式咖啡
362.0,6.8,14.7,8.8,0.0,50.0,45.0,0.262,冰海鹽焦糖摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰海鹽焦糖摩卡
239.0,6.2,11.5,6.9,0.0,27.0,20.0,0.093,栗香松露白巧克力咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_栗香松露白巧克力咖啡
303.0,6.6,14.9,9.1,0.0,35.0,26.0,0.112,冰栗香松露白巧克力咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰栗香松露白巧克力咖啡
234.0,6.5,10.75,5.4,0.0,28.0,24.0,0.0885,黃金芝麻豆奶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黃金芝麻豆奶那堤
294.5,7.5,13.5,6.6,0.0,36.0,32.0,0.1035,冰黃金芝麻豆奶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰黃金芝麻豆奶那堤
402.0,11.3,20.5,10.2,0.0,46.0,40.0,0.105,濃情愛戀巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_濃情愛戀巧克力
143.0,5.1,5.0,2.9,0.0,19.0,16.0,0.076,大溪地香草瑪奇朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_大溪地香草瑪奇朵
195.0,6.6,6.5,3.8,0.0,27.0,24.0,0.103,冰大溪地香草瑪奇朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰大溪地香草瑪奇朵
164.0,5.7,6.0,3.5,0.0,21.0,17.0,0.074,橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橘香巧克力卡布奇諾
235.0,6.9,7.6,4.4,0.0,34.0,27.0,0.096,冰橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰橘香巧克力卡布奇諾
11.0,0.7,0.0,0.0,0.0,2.0,0.0,0.007,冰美式咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰美式咖啡
84.0,0.4,0.0,0.0,0.0,19.0,18.0,0.046,椰汁冰搖濃縮咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_椰汁冰搖濃縮咖啡
377.0,4.9,14.8,9.5,0.0,56.0,54.0,0.179,草莓抹茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓抹茶星冰樂
2.0,0.3,0.1,0.0,0.0,0.0,0.0,0.009,冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冷萃咖啡
314.0,4.0,11.0,7.1,0.0,49.0,46.0,0.23,米花索(Me Fa So)星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_米花索(Me Fa So)星冰樂
442.0,5.8,21.0,16.3,0.0,57.0,54.0,0.222,草莓YES!星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓YES!星冰樂
84.0,1.5,0.0,0.0,0.0,19.5,16.8,0.019,綠色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_綠色蔬菜綜合果汁
73.2,2.1,0.0,0.0,0.0,16.2,15.0,0.176,紅色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紅色蔬菜綜合果汁
396.0,5.1,15.2,8.8,0.0,60.0,52.0,0.22,棉花糖餅乾風味星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_棉花糖餅乾風味星冰樂
412.0,5.4,14.8,9.3,0.0,64.0,62.0,0.181,茶&茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶&茶星冰樂
318.0,3.9,9.5,5.7,0.0,53.0,50.0,0.17,愛爾蘭布丁咖啡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_愛爾蘭布丁咖啡星冰樂
105.0,5.5,5.1,3.0,0.0,9.0,8.0,0.069,濃粹那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_濃粹那堤
132.0,7.1,6.9,4.3,0.0,11.0,10.0,0.105,黃金烘焙馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黃金烘焙馥郁那堤
119.0,6.4,6.1,3.8,0.0,10.0,9.0,0.099,冰黃金烘焙馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰黃金烘焙馥郁那堤
375.0,5.9,6.4,3.9,0.0,72.0,66.0,0.203,巴西莓優格星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巴西莓優格星冰樂
408.0,9.2,5.8,0.3,0.0,74.0,66.0,0.199,抹茶優格星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_抹茶優格星冰樂 
100.0,1.0,6.0,3.5,0.0,12.0,12.0,0.02,甜香草奶油冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_甜香草奶油冷萃咖啡
200.0,10.8,10.6,6.6,0.0,16.0,15.0,0.16,特選馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_特選馥郁那堤
225.0,7.2,7.0,4.1,0.0,33.0,27.0,0.096,熱檸檬柚子抹茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_熱檸檬柚子抹茶
32.0,0.0,0.0,0.0,0.0,8.0,8.0,0.001,葡萄蘆薈洋甘菊茶 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_葡萄蘆薈洋甘菊茶 
127.0,1.0,0.9,0.7,0.0,31.0,25.0,0.066,檸檬柚子抹茶星冰茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_檸檬柚子抹茶星冰茶
110.0,0.0,0.0,0.0,0.0,30.0,29.0,0.046,葡萄蘆薈洋甘菊星冰茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_葡萄蘆薈洋甘菊星冰茶
6.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,濃縮咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_濃縮咖啡
105.0,1.0,0.6,0.4,0.0,24.0,17.0,0.026,檸檬柚子抹茶冰搖茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_檸檬柚子抹茶冰搖茶
90.0,0.0,0.0,0.0,0.0,22.0,21.0,0.013,葡萄蘆薈洋甘菊冰搖茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_葡萄蘆薈洋甘菊冰搖茶
222.0,6.0,9.5,5.1,0.0,28.0,26.0,0.093,楓糖胡桃風味那堤 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_楓糖胡桃風味那堤 
2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.002,茶瓦納洋甘菊花草茶 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶瓦納洋甘菊花草茶 
3.0,0.0,0.0,0.0,0.0,0.7,0.0,0.002,茶瓦納英式早餐紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶瓦納英式早餐紅茶
396.0,5.6,11.9,6.9,0.0,40.0,38.0,0.188,科學怪怪星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_科學怪怪星冰樂
242.0,6.0,11.0,6.7,0.0,30.0,27.0,0.08,香草牛軋糖風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香草牛軋糖風味那堤
87.0,0.1,0.5,0.5,0.0,23.0,22.0,0.026,茶瓦納蘋果紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶瓦納蘋果紅茶
78.0,0.1,0.7,0.6,0.0,21.0,20.0,0.029,冰茶瓦納蘋果紅茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰茶瓦納蘋果紅茶
291.0,5.7,13.4,8.2,0.0,37.0,33.0,0.079,冰香草牛軋糖風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰香草牛軋糖風味那堤
3.0,0.3,0.1,0.0,0.0,0.0,0.0,0.005,每日精選咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_每日精選咖啡
206.0,5.6,10.2,6.1,0.0,23.0,21.0,0.078,薑餅香風味那堤(台北時代門市獨家銷售),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_薑餅香風味那堤(台北時代門市獨家銷售)
257.0,5.8,13.0,7.8,0.0,29.0,27.0,0.089,冰薑餅香風味那堤(台北時代門市獨家銷售),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰薑餅香風味那堤(台北時代門市獨家銷售)
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,氮氣冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_氮氣冷萃咖啡
217.0,5.9,9.9,6.0,0.0,26.0,23.0,0.072,栗香蒙布朗風味那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_栗香蒙布朗風味那堤
184.0,5.9,5.8,3.4,0.0,27.0,23.0,0.083,黑糖豆香慕斯那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑糖豆香慕斯那堤
286.0,6.5,11.9,7.1,0.0,38.0,34.0,0.23,海鹽焦糖摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_海鹽焦糖摩卡
173.0,6.2,7.3,3.8,0.0,20.0,17.0,0.078,夏威夷巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_夏威夷巧克力卡布奇諾
254.0,7.1,11.7,6.6,0.0,29.0,24.0,0.093,冰夏威夷巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰夏威夷巧克力卡布奇諾
78.0,0.1,0.0,0.0,0.0,20.0,19.0,0.009,紫檸檬冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紫檸檬冷萃咖啡
106.0,1.6,4.1,3.6,0.0,15.8,11.0,0.014,紅玉紅茶瓜地馬拉冰咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紅玉紅茶瓜地馬拉冰咖啡
65.0,3.6,3.5,2.0,0.0,5.0,5.0,0.045,咖啡密斯朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_咖啡密斯朵
388.0,4.6,13.4,8.6,0.0,62.0,62.0,0.173,草莓蜜香奶霜星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓蜜香奶霜星冰樂 
194.0,6.0,7.0,4.6,0.0,26.6,17.0,0.086,覆盆子優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_覆盆子優格飲
199.0,6.0,6.7,4.3,0.0,28.6,19.0,0.082,藍莓優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_藍莓優格飲
146.4,0.3,0.0,0.0,0.0,36.3,33.6,0.03,煙燻烏梅汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_煙燻烏梅汁
110.4,2.7,0.0,0.0,0.0,24.9,21.9,0.345,橘色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橘色蔬菜綜合果汁
170.4,1.5,0.0,0.0,0.0,41.1,36.0,0.004,鳳梨汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_鳳梨汁
156.0,0.9,0.0,0.0,0.0,38.1,29.4,0.012,草莓綜合果昔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓綜合果昔
440.0,7.3,21.6,11.4,0.0,59.0,51.0,0.481,夜色摩卡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_夜色摩卡星冰樂
404.0,8.0,15.8,9.6,0.0,57.0,54.0,0.473,抹茶起司蛋糕風味星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_抹茶起司蛋糕風味星冰樂
178.0,2.7,2.6,1.5,0.0,36.0,31.0,0.154,咖啡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_咖啡星冰樂
349.0,4.1,11.1,6.9,0.0,57.0,56.0,0.189,夏日芒果吉利星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_夏日芒果吉利星冰樂
61.0,0.2,0.0,0.0,0.0,15.0,14.1,0.048,椰子汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_椰子汁
419.0,7.5,16.9,6.6,0.0,60.0,50.0,0.304,開心果巧克力星冰樂                                 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_開心果巧克力星冰樂                                 
371.0,7.5,15.6,8.4,0.0,49.0,41.0,0.19,奶茶義式奶酪星冰樂                           ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_奶茶義式奶酪星冰樂                           
404.0,6.4,13.6,6.9,0.0,65.0,59.0,0.214,哈密瓜白巧克力星冰樂                                                                                                              ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_哈密瓜白巧克力星冰樂                                                                                                              
85.0,5.9,0.1,0.1,0.0,15.0,13.0,0.068,雲朵冰搖濃縮咖啡            ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_雲朵冰搖濃縮咖啡            
189.0,6.0,5.5,3.4,0.0,28.8,19.4,0.086,雙莓優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_雙莓優格飲
375.0,5.9,6.4,3.9,0.0,72.0,66.0,0.203,巴西莓優格星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巴西莓優格星冰樂 
150.0,0.2,0.0,0.0,0.0,37.0,32.0,0.017,荔枝吉利檸檬果茶                                   ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_荔枝吉利檸檬果茶                                   
326.0,5.5,2.4,1.5,0.0,70.0,59.0,0.193,蜜桃杏桃優格奶霜星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蜜桃杏桃優格奶霜星冰樂 
294.0,3.2,11.2,6.8,0.0,46.0,45.0,0.167,焦糖星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焦糖星冰樂
113.0,6.1,5.8,3.3,0.0,9.0,8.0,0.072,那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_那堤
303.0,0.3,1.0,0.9,0.0,73.0,72.0,0.235,紫葡萄吉利果汁星冰樂             ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紫葡萄吉利果汁星冰樂             
77.0,5.0,0.2,0.1,0.0,13.0,13.0,0.069,深焦糖風味雲朵氮氣咖啡            ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_深焦糖風味雲朵氮氣咖啡            
85.0,5.4,0.2,0.1,0.0,15.0,15.0,0.076,咖啡漿果風味雲朵冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_咖啡漿果風味雲朵冷萃咖啡
155.0,8.1,7.9,4.5,0.0,13.0,12.0,0.105,馥列白,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_馥列白
350.0,11.6,18.4,11.1,0.0,34.0,30.0,0.133,摩卡可可亞咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_摩卡可可亞咖啡
297.0,8.0,16.0,10.1,0.0,29.0,25.0,0.087,冰摩卡可可亞咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰摩卡可可亞咖啡
316.0,11.5,14.5,5.9,0.0,35.0,31.0,0.119,芝麻抹茶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_芝麻抹茶那堤
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milk kiss蜜桃乳酸飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_Milk kiss蜜桃乳酸飲
288.0,8.9,14.3,8.6,0.0,30.0,29.0,0.225,太妃核果風味那堤                                             ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_太妃核果風味那堤                                             
352.0,9.6,15.1,8.9,0.0,50.0,43.0,0.106,薄荷風味摩卡咖啡                                                                   ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_薄荷風味摩卡咖啡                                                                   
274.0,3.6,11.0,6.7,0.0,42.0,40.0,0.155,摩卡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_摩卡星冰樂
316.0,10.4,15.6,9.3,0.4,34.0,30.0,0.114,義式經典巧克力咖啡                  ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_義式經典巧克力咖啡                  
296.0,8.8,14.3,8.5,0.0,33.0,31.0,0.123,薑餅香那堤                           ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_薑餅香那堤                           
