Brand,Name,Portion,Cal_kcal,Protein_g,Fat_g,SF_g,TC_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,摩斯雞塊(6個),一份,517.2 ,23 ,41.8 ,6.2 ,0 ,599.8 ,12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯雞塊(6個)
MOS BURGER,黃金炸蝦堡,一份,390 ,16.4 ,17.7 ,1.8 ,0 ,650 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金炸蝦堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,332.3 ,8.6 ,3.6 ,0.6 ,0 ,534 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,元氣牛肉蛋堡,一份,471.5 ,22.8 ,27.8 ,9.9 ,0.7 ,722.9 ,32.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣牛肉蛋堡
MOS BURGER,黃金塔塔鱈魚堡,一份,361.8 ,18.5 ,13.7 ,1.4 ,0 ,460.9 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金塔塔鱈魚堡
MOS BURGER,培根雞蛋堡,一份,413 ,17.7 ,23.8 ,2.9 ,0 ,344.5 ,56.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_培根雞蛋堡
MOS BURGER,火腿歐姆蛋堡,一份,282 ,15.1 ,11.6 ,2.7 ,0 ,462.7 ,28.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿歐姆蛋堡
MOS BURGER,蕃茄吉士蛋堡,一份,286 ,15.2 ,11.7 ,2.7 ,0 ,464.5 ,29.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蕃茄吉士蛋堡
MOS BURGER,杏鮑菇珍珠堡,一份,333.6 ,8.4 ,3.9 ,0.8 ,0 ,561 ,66.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,摩斯熱狗堡,一份,278.4 ,12.7 ,11.6 ,3.1 ,0 ,712.6 ,31.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
MOS BURGER,雞肉三明治,一份,355 ,17.2 ,14.5 ,1.1 ,0 ,609.1 ,41.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞肉三明治
MOS BURGER,香米蝦三明治,一份,373 ,11.3 ,16.2 ,3.0 ,0 ,594.5 ,45.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_香米蝦三明治
MOS BURGER,日式豬排三明治,一份,303 ,13.0 ,9.7 ,1.5 ,0 ,569.2 ,43.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_日式豬排三明治
MOS BURGER,火腿蛋三明治,一份,423 ,17.4 ,22.1 ,3.0 ,0 ,520.7 ,39.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿蛋三明治
MOS BURGER,海洋珍珠堡,一份,390.2 ,11.3 ,8.6 ,3.6 ,0 ,331 ,66.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海洋珍珠堡
MOS BURGER,藜麥海洋珍珠堡,一份,388.9 ,11.5 ,8.3 ,3.4 ,0 ,303.8 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,法式卡菲雞堡,一份,434.1 ,15.8 ,21.8 ,5.6 ,0.1 ,776 ,43.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_法式卡菲雞堡
MOS BURGER,咖哩豬排堡-Keema醬,一份,319.2 ,19 ,8.4 ,0.8 ,0 ,823.2 ,42.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咖哩豬排堡-Keema醬
MOS BURGER,摩斯蘋果汁,一份,102 ,0.6 ,0.4 ,0 ,0 ,6 ,24 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯蘋果汁
MOS BURGER,輕檸雙牛堡(牛),一份,609.6 ,20.2 ,48.8 ,18.2 ,1.7 ,850.1 ,22.7 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_輕檸雙牛堡(牛)
MOS BURGER,咕咕雞堡,一份,304.6 ,16.8 ,7.8 ,1.3 ,0 ,699.8 ,41.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咕咕雞堡
MOS BURGER,元氣和牛珍珠堡(牛),一份,722.7 ,24.3 ,42.6 ,7.3 ,1.5 ,510.9 ,60 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣和牛珍珠堡(牛)
MOS BURGER,燒肉珍珠堡(牛),一份,471.1 ,13.1 ,22.9 ,5.1 ,0 ,388.9 ,52.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_燒肉珍珠堡(牛)
MOS BURGER,熱抹茶拿鐵咖啡,一份,207.6 ,8.9 ,7.8 ,4.9 ,0 ,122 ,25.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱抹茶拿鐵咖啡
MOS BURGER,摩斯吉士漢堡(原味/辣味)(牛),一份,476.9 ,20.4 ,27.1 ,8.6 ,0.7 ,1048.5 ,38.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯吉士漢堡(原味/辣味)(牛)
MOS BURGER,摩斯漢堡(原味/辣味)(牛),一份,433.9 ,17.8 ,23.5 ,8.0 ,0.7 ,834.1 ,38 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯漢堡(原味/辣味)(牛)
MOS BURGER, 蜜汁烤雞堡,一份,315.5 ,15.9 ,17.2 ,4.5 ,0.1 ,655.2 ,24.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 蜜汁烤雞堡
MOS BURGER,雞腿塊薯條組,一份,362.9 ,9 ,22.5 ,6.6 ,0.1 ,249.6 ,31.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞腿塊薯條組
MOS BURGER,藜麥元氣和牛珍珠堡(牛),一份,773.2 ,24.6 ,42.3 ,15.7 ,1.5 ,484 ,60.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥元氣和牛珍珠堡(牛)
MOS BURGER,藜麥燒肉珍珠堡(牛),一份,481.2 ,12.4 ,23.2 ,4.8 ,0 ,412.4 ,55.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥燒肉珍珠堡(牛)
MOS BURGER,藜麥海洋珍珠堡,一份,388.9 ,11.5 ,8.3 ,3.4 ,0 ,303.8 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,藜麥薑燒珍珠堡,一份,355.1 ,15.8 ,7.2 ,2.6 ,0 ,463 ,56.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥薑燒珍珠堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,332.3 ,8.6 ,3.6 ,0.6 ,0 ,534 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,100%新鮮橘子汁,一份,169.6 ,2.2 ,0.6 ,0 ,0 ,10 ,39 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_100%新鮮橘子汁
MOS BURGER,蜜汁烤雞起司堡,一份,357.2 ,18.4 ,20.6 ,6.8 ,0.0 ,835 ,24.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蜜汁烤雞起司堡
MOS BURGER, 海洋珍珠堡,一份,390.2 ,11.3 ,8.6 ,3.6 ,0 ,331 ,66.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 海洋珍珠堡
MOS BURGER,藜麥地瓜烤雞沙拉,一份,200.4 ,12.3 ,2.1 ,1.0 ,0.0 ,502.3 ,33.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥地瓜烤雞沙拉
MOS BURGER, 薑燒珍珠堡,一份,355.6 ,15.5 ,7.5 ,2.9 ,0 ,491 ,56.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 薑燒珍珠堡
MOS BURGER,杏鮑菇珍珠堡,一份,333.6 ,8.4 ,3.9 ,0.8 ,0 ,561 ,66.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,厚切培根和牛堡(牛),一份,744.4 ,27.8 ,53.9 ,9.6 ,1.5 ,855.1 ,36.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_厚切培根和牛堡(牛)
MOS BURGER,摩斯雞塊(6個),一份,517.2 ,23 ,41.8 ,6.2 ,0 ,599.8 ,12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯雞塊(6個)
MOS BURGER,黃金炸蝦堡,一份,390 ,16.4 ,17.7 ,1.8 ,0 ,650 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金炸蝦堡
MOS BURGER, 摩斯鱈魚堡,一份,508 ,20.5 ,28.7 ,2.3 ,0 ,608.0 ,39.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 摩斯鱈魚堡
MOS BURGER, 黃金炸蝦堡,一份,390 ,16.4 ,17.7 ,1.8 ,0 ,650 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 黃金炸蝦堡
MOS BURGER,摘鮮綠黃金炸蝦堡,一份,250 ,11.1 ,15.3 ,1.8 ,0 ,474 ,17.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摘鮮綠黃金炸蝦堡
MOS BURGER,摩斯熱狗堡,一份,278.4 ,12.7 ,11.6 ,3.1 ,0 ,712.6 ,31.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
MOS BURGER,鹿兒島焙茶,一份,0 ,0 ,0 ,0 ,0 ,0 ,0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鹿兒島焙茶
MOS BURGER,辣味吉利熱狗堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_辣味吉利熱狗堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,332.3 ,8.6 ,3.6 ,0.6 ,0 ,534 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,熱卡布奇諾,一份,141.7 ,7.5 ,7.2 ,4.4 ,0 ,137 ,11.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱卡布奇諾
MOS BURGER,元氣牛肉蛋堡,一份,471.5 ,22.8 ,27.8 ,9.9 ,0.7 ,722.9 ,32.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣牛肉蛋堡
MOS BURGER,熱拿鐵咖啡,一份,158.9 ,8.5 ,8.2 ,5 ,0 ,155 ,12.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱拿鐵咖啡
MOS BURGER,冰抹茶拿鐵咖啡,一份,283.9 ,11.9 ,10.2 ,6.4 ,0 ,155 ,36.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰抹茶拿鐵咖啡
MOS BURGER,冰拿鐵咖啡,一份,133.4 ,7.1 ,6.8 ,4.2 ,0 ,130 ,10.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰拿鐵咖啡
MOS BURGER,熱摩斯咖啡,一份,5.8 ,0.32 ,0 ,0 ,0 ,2 ,1.12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯咖啡
MOS BURGER,冰摩斯咖啡,一份,5.8 ,0.32 ,0 ,0 ,0 ,2 ,1.12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰摩斯咖啡
MOS BURGER,熱抹茶拿鐵咖啡,一份,250.6 ,11 ,9 ,6 ,0 ,155 ,29.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱抹茶拿鐵咖啡
MOS BURGER,黃金塔塔鱈魚堡,一份,361.8 ,18.5 ,13.7 ,1.4 ,0 ,460.9 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_黃金塔塔鱈魚堡
MOS BURGER,摩斯柑橘綜合果汁,一份,46.9 ,0.5 ,0.1 ,0 ,0 ,3 ,11 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯柑橘綜合果汁
MOS BURGER,培根雞蛋堡,一份,413 ,17.7 ,23.8 ,2.9 ,0 ,344.5 ,56.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_培根雞蛋堡
MOS BURGER,咖哩洋蔥圈,一份,324.8 ,2.9 ,21.2 ,6.0 ,0.2 ,698 ,30.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咖哩洋蔥圈
MOS BURGER,100%台灣冰綠茶(無糖),一份,0 ,0 ,0 ,0 ,0 ,0 ,0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_100%台灣冰綠茶(無糖)
MOS BURGER,100%台灣冰綠茶(無糖),一份,0 ,0 ,0 ,0 ,0 ,0 ,0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_100%台灣冰綠茶(無糖)
MOS BURGER,火腿歐姆蛋堡,一份,282 ,15.1 ,11.6 ,2.7 ,0 ,462.7 ,28.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿歐姆蛋堡
MOS BURGER,摩斯熱紅茶,一份,1.6 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.40 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱紅茶
MOS BURGER,摩斯熱可可,一份,233.0 ,1.8 ,1.0 ,0.6 ,0.0 ,143 ,54.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱可可
MOS BURGER,摩斯玄米煎茶,一份,0 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.75 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯玄米煎茶
MOS BURGER,摩斯特調紅茶歐蕾,一份,128 ,6.9 ,6.8 ,4.2 ,0.0 ,128 ,9.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯特調紅茶歐蕾
MOS BURGER,蕃茄吉士蛋堡,一份,286 ,15.2 ,11.7 ,2.7 ,0 ,464.5 ,29.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蕃茄吉士蛋堡
MOS BURGER,杏鮑菇珍珠堡,一份,333.6 ,8.4 ,3.9 ,0.8 ,0 ,561 ,66.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,雞塊薯條點心組,一份,593 ,12.7 ,38.2 ,13.2 ,0 ,397 ,49.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞塊薯條點心組
MOS BURGER,北海道栗南瓜可樂餅,一份,211.6 ,3.5 ,10 ,4.5 ,0 ,184 ,27 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_北海道栗南瓜可樂餅
MOS BURGER,雞肉地瓜總匯沙拉,一份,166.5 ,10.4 ,8.7 ,2.2 ,0 ,366 ,12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞肉地瓜總匯沙拉
MOS BURGER,摩斯熱狗堡,一份,278.4 ,12.7 ,11.6 ,3.1 ,0 ,712.6 ,31.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
