Brand,Name,Portion,Cal_kcal,Protein_g,Fat_g,SF_g,TC_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,雞肉三明治,一份,355 ,17.2 ,14.5 ,1.1 ,0 ,609.1 ,41.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞肉三明治
MOS BURGER,紫薯甜芋米派,一份,186.9 ,1.9 ,9.4 ,4.8 ,0 ,110 ,23.7 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_紫薯甜芋米派
MOS BURGER,香米蝦三明治,一份,373 ,11.3 ,16.2 ,3.0 ,0 ,594.5 ,45.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_香米蝦三明治
MOS BURGER,日式豬排三明治,一份,303 ,13.0 ,9.7 ,1.5 ,0 ,569.2 ,43.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_日式豬排三明治
MOS BURGER,火腿蛋三明治,一份,423 ,17.4 ,22.1 ,3.0 ,0 ,520.7 ,39.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿蛋三明治
MOS BURGER,新夏威夷鮮蔬沙拉,一份,97 ,2.8 ,4.6 ,0 ,0 ,277.8 ,11.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_新夏威夷鮮蔬沙拉
MOS BURGER,海洋珍珠堡,一份,390.2 ,11.3 ,8.6 ,3.6 ,0 ,331 ,66.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海洋珍珠堡
MOS BURGER,藜麥海洋珍珠堡,一份,388.9 ,11.5 ,8.3 ,3.4 ,0 ,303.8 ,66.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,和風炸雞,一份,472 ,19.5 ,36 ,3.2 ,0 ,168.8 ,15 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_和風炸雞
MOS BURGER,MOS乳酪條(原味/抹茶),一份,230 ,4.1 ,15.1 ,8.3 ,0.3 ,87 ,19.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_MOS乳酪條(原味/抹茶)
MOS BURGER,摩斯雞塊,一份,431 ,19.2 ,34.8 ,5.2 ,0 ,499.8 ,10.0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯雞塊
MOS BURGER,金磚蝦餅,一份,262.1 ,3.8 ,19.4 ,4.5 ,0 ,386 ,18.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_金磚蝦餅
MOS BURGER,野莓果粒蒟蒻冰茶,一份,225.8 ,1.1 ,0.1 ,0 ,0 ,7 ,55.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_野莓果粒蒟蒻冰茶
MOS BURGER,法蘭克熱狗,一份,158 ,9.5 ,10.4 ,0.6 ,0 ,531.7 ,6.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_法蘭克熱狗
MOS BURGER,野莓果粒蒟蒻舒打,一份,277.6 ,1.1 ,0.1 ,0.0 ,0.0 ,61.1 ,68.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_野莓果粒蒟蒻舒打
MOS BURGER,法式卡菲雞堡,一份,434.1 ,15.8 ,21.8 ,5.6 ,0.1 ,776 ,43.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_法式卡菲雞堡
MOS BURGER,冰檸摩斯咖啡,一份,160.6 ,0.9 ,0.2 ,0 ,0 ,2 ,38.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰檸摩斯咖啡
MOS BURGER,北海道可樂餅,一份,176 ,2.4 ,9.5 ,0 ,0 ,235.9 ,18.0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_北海道可樂餅
MOS BURGER,鳳梨奇異果蒟蒻冰茶,一份,237.9 ,0.5 ,0.2 ,0.1 ,0 ,7 ,58.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鳳梨奇異果蒟蒻冰茶
MOS BURGER,鳳梨奇異果蒟蒻舒打,一份,291.6 ,0.5 ,0.2 ,0.1 ,0 ,35 ,72.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鳳梨奇異果蒟蒻舒打
MOS BURGER,稻香戚風米慕斯,一份,220.9 ,7.4 ,10.1 ,5 ,0 ,150.7 ,25.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_稻香戚風米慕斯
MOS BURGER,花心雞球薯餅組,一份,334 ,12.1 ,23.6 ,7.4 ,0.1 ,773 ,18.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_花心雞球薯餅組
MOS BURGER,芒果蒟蒻,一份,118.9 ,0 ,0.4 ,0 ,0 ,61 ,28.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_芒果蒟蒻
MOS BURGER,冰萃檸檬綠茶,一份,153.6 ,0.2 ,0.2 ,0 ,0 ,2 ,37.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰萃檸檬綠茶
MOS BURGER,薯條(L),一份,446 ,4 ,21.4 ,5 ,0 ,69.0 ,44.0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_薯條(L)
MOS BURGER,和風雞腿塊,一份,275.8 ,18 ,17.3 ,6.3 ,0 ,640.8 ,12 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_和風雞腿塊
MOS BURGER,柚子冰茶,一份,261.4 ,0.6 ,0 ,0 ,0 ,12 ,64.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_柚子冰茶
MOS BURGER,海老天丼珍珠堡,一份,436.4 ,9.5 ,12.8 ,3.7 ,0 ,480 ,71.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海老天丼珍珠堡
MOS BURGER,炙燒烤雞珍珠堡,一份,435.7 ,19.4 ,10.9 ,3.3 ,0 ,819 ,65.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_炙燒烤雞珍珠堡
MOS BURGER,雙醬和風薯條,一份,567 ,5.8 ,39.8 ,10 ,0.2 ,758 ,51.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雙醬和風薯條
MOS BURGER,歐式經典磅蛋糕-英式水果口味,一份,184 ,2.5 ,6.4 ,3.8 ,0.8 ,97 ,29 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_歐式經典磅蛋糕-英式水果口味
MOS BURGER,歐式經典磅蛋糕-巧克力口味,一份,206 ,3.6 ,8.6 ,4.4 ,0.7 ,114 ,28.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_歐式經典磅蛋糕-巧克力口味
MOS BURGER,咖哩豬排堡-Keema醬,一份,319.2 ,19 ,8.4 ,0.8 ,0 ,823.2 ,42.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咖哩豬排堡-Keema醬
MOS BURGER,玉米濃湯,一份,78 ,1.4 ,3.0 ,0.3 ,0.1 ,471 ,11.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_玉米濃湯
MOS BURGER,鮮菇濃湯,一份,79 ,1.7 ,3.3 ,0.1 ,0 ,807.5 ,10.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鮮菇濃湯
MOS BURGER,蜂蜜檸檬蒟蒻,一份,97 ,0 ,0 ,0 ,0 ,44 ,24.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蜂蜜檸檬蒟蒻
MOS BURGER,葡萄蒟蒻,一份,103 ,0 ,0 ,0 ,0 ,30 ,25.8 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_葡萄蒟蒻
MOS BURGER,熱摩斯咖啡,一份,3.6 ,0.2 ,0 ,0 ,0 ,1 ,0.7 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯咖啡
MOS BURGER,冰摩斯咖啡,一份,4.2 ,0.23 ,0 ,0 ,0 ,1 ,0.81 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰摩斯咖啡
MOS BURGER,熱摩斯奶茶,一份,153.1 ,8.4 ,8.3 ,4.9 ,0 ,127.4 ,11.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯奶茶
MOS BURGER,熱拿鐵咖啡,一份,124.4 ,6.6 ,6.5 ,4 ,0 ,122 ,9.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱拿鐵咖啡
MOS BURGER,冰拿鐵咖啡,一份,118.7 ,6.3 ,6.1 ,3.8 ,0 ,116 ,9.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰拿鐵咖啡
MOS BURGER,熱卡布奇諾,一份,120.4 ,6.3 ,6.1 ,3.8 ,0 ,117 ,10 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱卡布奇諾
MOS BURGER,冰紅茶(M),一份,89 ,0 ,0 ,0 ,0 ,0 ,22.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰紅茶(M)
MOS BURGER,冰紅茶(L),一份,109 ,0 ,0 ,0 ,0 ,0 ,27.3 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰紅茶(L)
MOS BURGER,早餐冰咖啡(M),一份,49 ,0 ,0 ,0 ,0 ,0.3 ,12.7 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_早餐冰咖啡(M)
MOS BURGER,早餐冰咖啡(L),一份,67 ,0 ,0 ,0 ,0 ,0.3 ,17.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_早餐冰咖啡(L)
MOS BURGER,可樂,一份,248 ,0 ,0 ,0 ,0 ,12 ,64.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_可樂
MOS BURGER,雪碧,一份,271 ,0 ,0 ,0 ,0 ,53.1 ,64.9 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雪碧
MOS BURGER,摩斯鮮乳,一份,128.8 ,8.3 ,9.3 ,6.3 ,0 ,113 ,9.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯鮮乳
MOS BURGER,柚子熱茶,一份,120 ,0 ,0 ,0 ,0 ,0.1 ,30 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_柚子熱茶
MOS BURGER,帶骨香腸,一份,209 ,13.3 ,16.4 ,6.8 ,0 ,524 ,2.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_帶骨香腸
MOS BURGER,方塊薯餅(3個),一份,227.2 ,2.3 ,15.6 ,4.5 ,0 ,372.2 ,18.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_方塊薯餅(3個)
MOS BURGER,摩斯純淨天然水,一份,0 ,0 ,0 ,0 ,0 ,0 ,0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯純淨天然水
MOS BURGER,摩斯純淨水,一份,0 ,0 ,0 ,0 ,0 ,0 ,0 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯純淨水
MOS BURGER,元氣和牛珍珠堡(牛),一份,722.7 ,24.3 ,42.6 ,7.3 ,1.5 ,510.9 ,60 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣和牛珍珠堡(牛)
MOS BURGER,燒肉珍珠堡(牛),一份,471.1 ,13.1 ,22.9 ,5.1 ,0 ,388.9 ,52.4 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_燒肉珍珠堡(牛)
MOS BURGER,摩斯吉士漢堡(原味/辣味)(牛),一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯吉士漢堡(原味/辣味)(牛)
MOS BURGER,摩斯漢堡(原味/辣味)(牛),一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯漢堡(原味/辣味)(牛)
MOS BURGER, 蜜汁烤雞堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 蜜汁烤雞堡
MOS BURGER,藜麥元氣和牛珍珠堡(牛),一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥元氣和牛珍珠堡(牛)
MOS BURGER,藜麥燒肉珍珠堡(牛),一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥燒肉珍珠堡(牛)
MOS BURGER,藜麥海洋珍珠堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,藜麥薑燒珍珠堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥薑燒珍珠堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,蜜汁烤雞起司堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蜜汁烤雞起司堡
MOS BURGER, 海洋珍珠堡,一份,390.2 ,11.3 ,8.6 ,3.6 ,0 ,331 ,66.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 海洋珍珠堡
MOS BURGER, 薑燒珍珠堡,一份,355.6 ,15.5 ,7.5 ,2.9 ,0 ,491 ,56.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 薑燒珍珠堡
MOS BURGER,杏鮑菇珍珠堡,一份,333.6 ,8.4 ,3.9 ,0.8 ,0 ,561 ,66.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,厚切培根和牛堡(牛),一份,744.4 ,27.8 ,53.9 ,9.6 ,1.5 ,855.1 ,36.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_厚切培根和牛堡(牛)
MOS BURGER, 摩斯鱈魚堡,一份,508 ,20.5 ,28.7 ,2.3 ,0 ,608.0 ,39.6 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 摩斯鱈魚堡
MOS BURGER, 黃金炸蝦堡,一份,390 ,16.4 ,17.7 ,1.8 ,0 ,650 ,41.2 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 黃金炸蝦堡
MOS BURGER,摘鮮綠黃金炸蝦堡,一份,250 ,11.1 ,15.3 ,1.8 ,0 ,474 ,17.5 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摘鮮綠黃金炸蝦堡
MOS BURGER,摩斯熱狗堡,一份,278.4 ,12.7 ,11.6 ,3.1 ,0 ,712.6 ,31.1 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
MOS BURGER,辣味吉利熱狗堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_辣味吉利熱狗堡
MOS BURGER,海老天丼珍珠堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海老天丼珍珠堡
MOS BURGER,炙燒烤雞珍珠堡,一份,287.4 ,13.3 ,12.3 ,3.3 ,0 ,835.1 ,31 g,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_炙燒烤雞珍珠堡
